"### Downloaded by Andrew Hamilton, Aug 6, 2020, from https://www.ncdc.noaa.gov/cdo-web/datasets/GHCND/stations/GHCND:USC00311677/detail",,,,,,
STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USC00311677,"CHAPEL HILL 2 W, NC US",5/25/1920,0.07,,68,51
USC00311677,"CHAPEL HILL 2 W, NC US",5/26/1920,0,,70,53
USC00311677,"CHAPEL HILL 2 W, NC US",5/27/1920,0.02,,75,52
USC00311677,"CHAPEL HILL 2 W, NC US",5/28/1920,0,,77,53
USC00311677,"CHAPEL HILL 2 W, NC US",5/29/1920,0,,85,57
USC00311677,"CHAPEL HILL 2 W, NC US",5/30/1920,0,,83,53
USC00311677,"CHAPEL HILL 2 W, NC US",5/31/1920,0,,85,52
USC00311677,"CHAPEL HILL 2 W, NC US",6/1/1920,0,0,84,53
USC00311677,"CHAPEL HILL 2 W, NC US",6/2/1920,0,0,85,62
USC00311677,"CHAPEL HILL 2 W, NC US",6/3/1920,0,0,83,69
USC00311677,"CHAPEL HILL 2 W, NC US",6/4/1920,2.6,0,74,59
USC00311677,"CHAPEL HILL 2 W, NC US",6/5/1920,1,0,76,63
USC00311677,"CHAPEL HILL 2 W, NC US",6/6/1920,0,0,72,62
USC00311677,"CHAPEL HILL 2 W, NC US",6/7/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",6/8/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",6/9/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",6/10/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",6/11/1920,0,0,91,
USC00311677,"CHAPEL HILL 2 W, NC US",6/12/1920,0,0,95,69
USC00311677,"CHAPEL HILL 2 W, NC US",6/13/1920,0,0,94,67
USC00311677,"CHAPEL HILL 2 W, NC US",6/14/1920,0,0,93,65
USC00311677,"CHAPEL HILL 2 W, NC US",6/15/1920,0.7,0,95,67
USC00311677,"CHAPEL HILL 2 W, NC US",6/16/1920,0,0,95,68
USC00311677,"CHAPEL HILL 2 W, NC US",6/17/1920,0,0,90,66
USC00311677,"CHAPEL HILL 2 W, NC US",6/18/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",6/19/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",6/20/1920,1.7,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",6/21/1920,1.7,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",6/22/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",6/23/1920,0,0,82,60
USC00311677,"CHAPEL HILL 2 W, NC US",6/24/1920,0.15,0,82,61
USC00311677,"CHAPEL HILL 2 W, NC US",6/25/1920,0.14,0,81,60
USC00311677,"CHAPEL HILL 2 W, NC US",6/26/1920,0,0,81,60
USC00311677,"CHAPEL HILL 2 W, NC US",6/27/1920,0,0,85,62
USC00311677,"CHAPEL HILL 2 W, NC US",6/28/1920,0,0,87,65
USC00311677,"CHAPEL HILL 2 W, NC US",6/29/1920,,0,93,70
USC00311677,"CHAPEL HILL 2 W, NC US",6/30/1920,0,0,92,74
USC00311677,"CHAPEL HILL 2 W, NC US",7/1/1920,0,0,90,70
USC00311677,"CHAPEL HILL 2 W, NC US",7/2/1920,0.12,0,90,67
USC00311677,"CHAPEL HILL 2 W, NC US",7/3/1920,0,0,93,70
USC00311677,"CHAPEL HILL 2 W, NC US",7/4/1920,0,0,90,65
USC00311677,"CHAPEL HILL 2 W, NC US",7/5/1920,0,0,85,59
USC00311677,"CHAPEL HILL 2 W, NC US",7/6/1920,0,0,90,68
USC00311677,"CHAPEL HILL 2 W, NC US",7/7/1920,0,0,92,70
USC00311677,"CHAPEL HILL 2 W, NC US",7/8/1920,0.1,0,92,68
USC00311677,"CHAPEL HILL 2 W, NC US",7/9/1920,0,0,89,71
USC00311677,"CHAPEL HILL 2 W, NC US",7/10/1920,0.74,0,87,68
USC00311677,"CHAPEL HILL 2 W, NC US",7/11/1920,0.68,0,77,67
USC00311677,"CHAPEL HILL 2 W, NC US",7/12/1920,0,0,87,69
USC00311677,"CHAPEL HILL 2 W, NC US",7/13/1920,0,0,87,67
USC00311677,"CHAPEL HILL 2 W, NC US",7/14/1920,0,0,89,65
USC00311677,"CHAPEL HILL 2 W, NC US",7/15/1920,0.4,0,90,68
USC00311677,"CHAPEL HILL 2 W, NC US",7/16/1920,0.24,0,81,65
