,0
217,1267.385862076915
218,1398.8560184902185
219,744.2915754634763
220,915.1651436150188
221,1478.3535854606769
222,1093.0832532625018
223,1726.7835173382998
224,1011.4022387301367
225,1093.6427208815644
226,1146.5762311736905
227,1087.83403015346
228,1178.5611344443885
229,702.4947072713612
230,1990.4700095386895
231,1493.6227157626474
232,905.8423672748636
233,891.8314326444037
234,963.3118523007164
235,1588.898474243258
236,1475.3605986536172
237,2004.6815739329893
238,1379.7020219185147
239,1652.3706053899523
240,1571.6556577704678
241,570.9182785686203
242,876.1855143568753
243,1499.640373403429
244,1181.4002232049625
245,1091.7799052579908
246,577.2397722615468
247,626.9598567278975
248,897.6543355899025
249,818.6058440655934
250,1048.5375906619831
251,1072.3042929938415
252,1072.4235591181418
253,807.2130084977405
254,1402.918026225701
255,1172.6273142436467
256,672.8200946853627
257,1663.7058203949834
258,1694.448971954685
259,1537.915994517219
260,1267.9726379670724
261,1111.3230056877346
262,897.5660650489891
263,1292.013951583138
264,1498.3906207237396
265,926.7383137944223
266,1488.079237963943
267,1737.6196980096545
268,969.6289606184262
269,1928.3334118536
270,1009.6460667245076
271,1076.1066703026424
272,1294.6604932708124
273,1150.6992934391114
274,1429.5979205981828
275,1356.7109736372595
276,1177.1244154086996
277,1055.8152043344903
278,754.8719171566042
279,701.3207213043576
280,1106.0363376472305
281,837.1318063952762
282,751.4265101564156
283,1081.5003807108462
284,1191.9600214955606
285,1586.7199288125162
286,1411.9717178512487
287,1150.8266713581513
288,1133.96531040612
289,860.8231464079138
290,580.130456700238
291,860.5087169787738
292,1166.749973260155
293,1069.6666411171418
294,1309.7614531135132
295,1698.5366487101403
296,1091.302272339989
297,1283.312798286287
298,1274.3113747491432
299,1569.3995928449988
300,1433.8110641727374
301,1337.4756382128544
302,1121.6491583158845
303,1079.5143238880773
304,1134.0527945124547
305,1306.5834487718018
306,838.5172441738638
307,913.5711910706636
308,1423.7921579738531
309,1409.0975667844132
310,1386.699396870547
311,1321.6583175376986
312,790.9569606031706
313,1469.6090193683294
314,1145.6544560541945
315,990.1888969135028
316,763.5353032534803
317,1007.5467936607716
318,1748.1085644317798
319,872.2955686352228
320,1440.1276292485336
321,1147.5568406709695
322,763.9418574972328
323,1297.7179618658067
324,1086.9559150463767
325,524.5445013009661
326,1146.906055228169
327,856.1346620297113
328,1069.3929687543557
329,1585.268873240566
330,1009.445920157287
331,1196.7843929440876
332,939.1036893900425
333,1444.3633310635107
334,1071.3383342810148
335,610.0256566540107
336,1069.9659902145
337,1419.5166012683069
338,1218.747376689545
339,1303.8916093253654
340,1517.5813332998282
341,1190.0234871100618
342,719.8867453949408
343,924.7064999316472
344,984.7062532544037
345,1002.1587597287497
346,777.4550789211702
347,725.265501606573
348,565.9887668066003
349,652.7156417867471
350,925.4471091977316
351,865.4890581311612
352,927.1099137388287
353,757.3191058703013
354,968.9605229990287
355,1147.6669276274852
356,794.5855146504143
357,1005.2330050135672
358,328.28538544730685
359,763.0691706253481
360,673.452943062807
361,597.884123384238
362,1151.8010766331454
363,704.9161077043932
364,915.5654999780304
365,280.738321571629
