,0
258,3336.2941796050163
259,2597.076772288134
260,2039.8712552574514
261,2223.5441207554036
262,2056.67249650121
263,2370.085403037744
264,2288.8488774633925
265,1945.2039581340996
266,1976.8807763862403
267,1686.9040856152114
268,820.226013496261
269,1044.7399578068275
270,397.8613191617478
271,303.3147353837312
272,218.55382296816992
273,401.83242320028126
274,442.69155660565843
275,-65.44774646604378
276,-179.58655822855985
277,-121.30921107420932
278,-300.9432871778861
279,-53.55119585224668
280,404.715616342873
281,657.0244517427909
282,999.0068644477041
283,1427.401849880565
284,1937.9942428494076
285,1814.8394054808016
286,1192.7361902025264
287,1116.0828960365761
288,1052.3540330079907
289,1161.1798746686773
290,1311.4442430408292
291,1454.755256186612
292,1989.9242973462879
293,2235.2504651737113
294,2035.8245531615025
295,2147.230460492604
296,1700.2706717051062
297,1500.1485723861147
298,1486.1530013813972
299,1414.9831561644935
300,841.5560918607296
301,813.9627981500537
302,487.6541930685271
303,515.8065867616306
304,653.3251710446434
305,721.8848026575167
306,365.01459169669283
307,851.3378893990481
308,1430.814013879508
309,1356.0727683763917
310,968.4947401276522
311,626.0140794709075
312,628.2412772777138
313,1148.5891959995106
314,1145.857268219941
315,1237.5098995460683
316,1701.767303813706
317,2312.6729033000847
318,2414.2959315749054
319,2077.0824684910385
320,2707.294115917743
321,2098.8098737477794
322,2011.5114396098338
323,2201.43301541344
324,2190.699477586433
325,2468.42305933646
326,2973.1154431116634
327,3046.7398431365245
328,3487.4550501143017
329,3562.671453301111
330,3202.1874743300386
331,3428.292264926672
332,3014.4553847004217
333,3159.5844679729553
334,3202.1253233506613
335,3928.661665718985
336,4389.974343345989
337,3930.0340097855
338,3580.4833987316933
339,3781.252623310455
340,3696.1083906746344
341,3482.418666700172
342,3809.976512889938
343,4280.113254605059
344,4075.293500068353
345,4015.2937467455963
346,3997.84124027125
347,4123.582641238405
348,4274.734498393427
349,4434.0112331934
350,4347.284358213253
351,4074.5528908022684
352,4134.510941868839
353,4072.8900862611713
354,4242.680894129699
355,4031.039477000971
356,3852.333072372515
357,4205.414485349585
358,3994.766994986433
359,4671.714614552693
360,4236.930829374652
361,4326.547056937193
362,4402.115876615762
363,3848.1989233668546
364,4295.083892295606
365,4084.4345000219696
